X,Y,R,L
0,500,500,500
50,450,500,400
100,400,500,300
150,350,500,200
200,300,500,100
250,250,500,0
300,200,500,-100
350,150,500,-200
400,100,500,-300
450,50,500,-400
500,0,500,-500
450,-50,400,-500
400,-100,300,-500
350,-150,200,-500
300,-200,100,-500
250,-250,0,-500
200,-300,-100,-500
150,-350,-200,-500
100,-400,-300,-500
50,-450,-400,-500
0,-500,-500,-500
-50,-450,-500,-400
-100,-400,-500,-300
-150,-350,-500,-200
-200,-300,-500,-100
-250,-250,-500,0
-300,-200,-500,100
-350,-150,-500,200
-400,-100,-500,300
-450,-50,-500,400
-500,0,-500,500
-450,50,-400,500
-400,100,-300,500
-350,150,-200,500
-300,200,-100,500
-250,250,0,500
-200,300,100,500
-150,350,200,500
-100,400,300,500
-50,450,400,500
0,500,500,500
